name,salary_from,salary_to,salary_currency,area_name,published_at
Разработчик Microsoft.Net (интерфейс),,,,Москва,2008-11-21T13:54:36+0300
IT-специалист,15000.0,,RUR,Уфа,2008-09-10T17:56:21+0400
Системный архитектор по ИТ-инфраструктуре,,,,Москва,2008-09-16T15:52:07+0400
"Программист(Delphi, MS SQL)",70000.0,,RUR,Москва,2008-08-19T17:57:08+0400
Senior Software Test Analyst,1200.0,1500.0,USD,Санкт-Петербург,2008-02-12T20:04:22+0300
Ведущий ИТ - специалист,,,,Москва,2008-07-02T12:33:56+0400
Системный инженер в группу магистральных сетей (CCNP уровень),,,,Москва,2008-10-27T13:38:17+0300
Web-мастер,15000.0,20000.0,RUR,Саратов,2008-08-04T15:46:02+0400
Инженер в группу круглосуточного мониторинга,50000.0,55000.0,RUR,Москва,2008-07-08T13:05:29+0400
Менеджер по работе с партнерами,25000.0,33000.0,RUR,Санкт-Петербург,2008-07-08T16:23:27+0400
Программист 1С,2900.0,3000.0,USD,Москва,2008-08-04T09:30:18+0400
Программист-испытатель,,,,Москва,2008-12-15T10:36:25+0300
Специалист по работе с корпоративными клиентами,,,,Екатеринбург,2008-08-05T16:03:42+0400
Руководитель регионального представительства,45000.0,,RUR,Красноярск,2008-08-05T18:20:33+0400
Дизайнер в AutoCad,1200.0,,USD,Москва,2008-08-06T17:28:17+0400
Программист 1С,1200.0,3000.0,USD,Москва,2008-04-04T10:33:51+0400
Руководитель технической группы,,,,Москва,2008-10-08T08:39:32+0400
Менеджер по работе с клиентами,,,,Саратов,2008-08-01T16:34:13+0400
Software developer,,,,Москва,2008-07-25T16:02:43+0400
Программист 1С,1700.0,2300.0,USD,Псков,2008-07-25T16:42:02+0400
Координатор проектов,800.0,1000.0,USD,Москва,2008-07-28T09:41:35+0400
Системный администратор,800.0,1800.0,USD,Москва,2008-11-26T10:54:44+0300
Администратор хранилища данных,,,,Киев,2008-11-26T14:49:54+0300
Сетевой администратор,45000.0,70000.0,RUR,Москва,2008-12-02T09:43:18+0300
Руководитель информационного отдела,30000.0,35000.0,RUR,Санкт-Петербург,2008-08-08T11:45:02+0400
Инженер по системам видеонаблюдения,25000.0,35000.0,RUR,Нижний Новгород,2008-08-01T10:11:46+0400
Системный администратор,1900.0,2300.0,USD,Москва,2008-08-04T10:30:56+0400
Начальник отдела УЗИ,1500.0,,USD,Алматы,2008-08-04T10:35:47+0400
Инженер-программист Linux,,,,Москва,2008-10-03T10:00:17+0400
Руководитель проектов (продажи),2000.0,,USD,Москва,2008-08-04T12:45:55+0400
Начальник отдела операционных систем *nix,,,,Москва,2008-08-25T09:57:06+0400
Веб-программист,10000.0,15000.0,RUR,Казань,2008-03-03T17:08:15+0300
Seo оптимизатор,20000.0,35000.0,RUR,Санкт-Петербург,2008-07-11T17:11:40+0400
Программист С++,,,,Москва,2008-09-19T16:22:20+0400
Senior C++ Developer,,,,Киев,2008-09-22T12:29:15+0400
Инженер по оптимизации радиосети,35000.0,41000.0,RUR,Москва,2008-10-20T15:44:06+0400
Инженер проектирования,,,,Нижний Новгород,2008-12-01T12:36:05+0300
Системный инженер (Cisco Unified Communications),,,,Москва,2008-04-22T10:21:27+0400
Менеджер по продажам телекоммуникационного оборудования,16800.0,60000.0,RUR,Санкт-Петербург,2008-01-21T09:35:10+0300
Менеджер Аналитик,30000.0,,RUR,Москва,2008-09-25T11:30:36+0400
Field applications engineer,,,,Москва,2008-09-29T12:35:52+0400
Ведущий инженер,,,,Москва,2008-04-17T17:20:32+0400
Специалист по IT,30000.0,35000.0,RUR,Москва,2008-04-17T17:36:56+0400
Ведущий программист JAVA,45000.0,70000.0,RUR,Санкт-Петербург,2008-11-07T12:59:05+0300
Администратор проекта,800.0,1200.0,USD,Москва,2008-04-17T19:13:51+0400
Менеджер проектов (Карты),,,,Москва,2008-04-17T23:27:02+0400
Менеджер по Продажам (Sales Manager) Россия/СНГ,,,,Москва,2008-04-21T08:59:42+0400
Менеджер по качеству,26000.0,36000.0,RUR,Москва,2008-05-28T14:32:22+0400
Cпециалист (Diasoft Custody 5 NT и Signator 2000),,,,Центральный округ,2008-07-15T11:45:42+0400
ИТ специалист,40000.0,,RUR,Санкт-Петербург,2008-07-15T12:53:12+0400
"Ведущий инженер по направлению ""Разработка и внедрение систем защиты веб-приложений""",,,,Казань,2008-08-05T13:54:10+0400
C#/C++ Developer,,,,Киев,2008-06-09T14:07:43+0400
Программист JavaScript,2400.0,3000.0,USD,Москва,2008-06-10T16:22:32+0400
Программист JavaScript,2000.0,2500.0,USD,Москва,2008-06-10T16:26:32+0400
Html-верстальщик / web-разработчик,30000.0,30000.0,RUR,Москва,2008-09-17T11:25:13+0400
Инженер-программист,34425.0,34425.0,RUR,Самара,2008-09-18T10:48:00+0400
Инженер по обеспечению качества,30000.0,45000.0,RUR,Москва,2008-10-15T12:27:33+0400
Системный администратор,35000.0,,RUR,Москва,2008-10-30T13:14:08+0300
Программист (Стажер),1000.0,1300.0,USD,Нигерия,2008-06-30T14:21:54+0400
Системный инженер,1700.0,,USD,Москва,2008-06-30T14:44:42+0400
MBS Partner Technology Specialist,,,,Новосибирск,2008-08-30T13:52:56+0400
PR-менеджер,30000.0,35000.0,RUR,Москва,2008-08-18T11:52:57+0400
Junior Perl developer,25000.0,30000.0,RUR,Московская область - Север,2009-02-22T12:29:24+0300
Руководитель сервисного департамента,,,,Москва,2009-02-24T10:26:25+0300
Разработчик систем тестирования,,,,Москва,2009-02-25T15:56:03+0300
Специалист по сертификации и испытаниям,25000.0,35000.0,RUR,Санкт-Петербург,2009-12-28T15:06:02+0300
UI developer,30000.0,45000.0,RUR,Санкт-Петербург,2009-12-02T11:22:27+0300
Helpdesk specialist,,,,Москва,2009-08-11T10:56:01+0400
Системный администратор,,,,Казань,2009-08-11T11:40:04+0400
SEO-специалист (г. Таганрог),15000.0,,RUR,Ростов-на-Дону,2009-05-07T02:22:26+0400
Представитель компании/менеджер по работе с корпоративными клиентами,2000.0,2500.0,EUR,Германия,2009-05-21T18:29:21+0400
Оператор компьютерной верстки,15000.0,,RUR,Воронеж,2009-05-22T08:59:27+0400
Менеджер по продажам,23000.0,28000.0,RUR,Санкт-Петербург,2009-05-22T12:50:46+0400
Разработчик SharePoint,60000.0,80000.0,RUR,Москва,2009-05-25T13:21:14+0400
Специалист по тестированию ПО,30000.0,,RUR,Москва,2009-05-26T12:12:30+0400
Менеджер проектов внедрения,,,,Санкт-Петербург,2009-08-06T15:10:18+0400
Инженер по сопровождению производственных программ (GPS),,,,Санкт-Петербург,2009-09-07T09:14:36+0400
Специалист по поддержке 1С,20000.0,35000.0,RUR,Санкт-Петербург,2009-10-15T20:18:55+0400
Контент-менеджер,1000.0,,USD,Москва,2009-10-16T13:06:30+0400
Специалист по тестированию ПО (Senior),20000.0,,RUR,Самара,2009-11-19T09:13:23+0300
Руководитель группы BI,60000.0,,RUR,Москва,2009-03-30T16:59:51+0400
Старший специалист по поддержке ИТ инфраструктуры,80000.0,,RUR,Самара,2009-04-23T09:50:11+0400
Технический директор,,,,Санкт-Петербург,2009-04-03T18:06:50+0400
Программист С# / С++,50000.0,65000.0,RUR,Москва,2009-07-21T16:28:35+0400
Контент менеджер,,20000.0,RUR,Москва,2009-07-22T12:03:56+0400
Программист 1С,,,,Москва,2009-07-22T15:43:18+0400
Инженер-проектировщик (Газоснабжение),10000.0,,RUR,Саратовская область,2009-07-11T09:31:11+0400
Специалист отдела поддержки пользователей,,,,Санкт-Петербург,2009-03-12T14:10:39+0300
Программист 3D графики,60000.0,80000.0,RUR,Москва,2009-09-03T16:19:04+0400
Web-программист (php),35000.0,50000.0,RUR,Москва,2009-11-19T15:37:42+0300
Ведущий java программист,60000.0,90000.0,RUR,Москва,2009-09-04T16:31:51+0400
Ведущий специалист отдела управления проектами,75000.0,80000.0,RUR,Москва,2009-09-07T16:26:15+0400
Диспетчер,12800.0,17000.0,RUR,Великий Новгород,2009-11-03T17:02:56+0300
Представитель в регионе (менеджер),8000.0,10000.0,RUR,Томск,2009-10-22T16:15:56+0400
Архитектор ( мультимедиа платформа),,,,Санкт-Петербург,2009-10-22T17:50:45+0400
Менеджер по интернет-проектам (контент-менеджер),,,,Москва,2009-12-04T12:04:47+0300
Ведущий инженер информационной безопасности,,,,Москва,2009-11-06T15:16:52+0300
Инженер-схемотехник,40000.0,,RUR,Москва,2009-10-26T16:19:40+0300
Релиз- менеджер,,,,Москва,2009-10-27T12:52:00+0300
Менеджер проектов,60000.0,80000.0,RUR,Санкт-Петербург,2009-12-18T11:53:59+0300
Администратор информационной системы,,,,Москва,2009-12-14T14:55:19+0300
Ведущий программист VB.net / Java (Код вакансии: АС-IT),100000.0,160000.0,RUR,Москва,2009-02-12T17:57:01+0300
Ведущий PHP-программист,65000.0,75000.0,RUR,Москва,2009-02-19T11:06:43+0300
IT Administrator,,45000.0,RUR,Москва,2009-10-20T13:57:39+0400
Инженер-программист С/С++,15000.0,30000.0,RUR,Нижний Новгород,2009-11-18T10:34:06+0300
Инженер-исследователь систем мониторинга информационной безопасности,,,,Москва,2009-10-21T18:57:49+0400
Веб-программист / web-разработчик (удаленный фуллтайм),45000.0,,RUR,Россия,2009-10-22T01:11:45+0400
Sales manager/BDM (IT services),,,,Москва,2009-10-22T13:42:05+0400
Начальник отдела разработки,,,,Москва,2009-10-28T11:28:06+0300
Web-программист,50000.0,70000.0,RUR,Москва,2009-02-02T10:01:35+0300
Внештатный SEO оптимизатор,,,,Москва,2009-02-17T12:30:55+0300
Специалист,,,,Москва,2009-09-30T14:44:23+0400
Системный администратор,15000.0,20000.0,RUR,Ростов-на-Дону,2009-09-30T14:51:58+0400
OpenGL developer,,,,Нижний Новгород,2009-10-01T17:17:11+0400
Руководитель проектов,,,,Киев,2009-06-15T15:55:27+0400
Специалист офиса обслуживания абонентов,,,,Москва,2009-06-17T12:00:50+0400
Application/Consultant engineer,,,,Киев,2009-06-18T19:10:55+0400
Контент-менеджер для новостного портала,,450.0,USD,Алматы,2009-06-22T15:14:13+0400
Oracle DBA,,,,Москва,2009-09-02T09:57:54+0400
Ведущий архитектор/проектировщик (проекты ITSM),,,,Москва,2009-05-14T19:00:25+0400
Ведущий Java разработчик,65000.0,90000.0,RUR,Санкт-Петербург,2009-05-08T12:33:54+0400
Руководитель Проектов,2000.0,,UAH,Украина,2009-04-14T15:25:58+0400
Системный администратор,8000.0,15000.0,RUR,Казань,2009-04-16T10:51:22+0400
Инженер по ремонту телефонов,20000.0,40000.0,RUR,Москва,2009-10-27T15:45:08+0300
Program Manager,,,,Москва,2009-09-02T13:25:28+0400
Web мастер ( Веб - программист),50000.0,60000.0,RUR,Москва,2009-09-03T12:49:27+0400
Региональный представитель,15000.0,25000.0,RUR,Махачкала,2009-11-12T10:11:23+0300
WEB-разработчик,20000.0,30000.0,RUR,Омск,2009-12-22T11:05:39+0300
Системный администратор \ web-разработчик,25000.0,,RUR,Москва,2009-12-22T14:51:10+0300
Инженер АИИС КУЭ,18000.0,25000.0,RUR,Санкт-Петербург,2009-12-09T12:59:24+0300
Инженер-проектировщик,15000.0,20000.0,RUR,Россия,2009-04-24T10:54:25+0400
Программист 1С: 8.1,,,,Киев,2009-01-15T12:15:02+0300
Helpdesk 2nd level with English,30000.0,40000.0,RUR,Санкт-Петербург,2009-10-09T16:30:18+0400
Региональный менеджер,15000.0,,RUR,Хабаровск,2009-10-09T17:24:42+0400
Ведущий разработчик Java,70000.0,120000.0,RUR,Москва,2009-10-05T21:50:20+0400
Системный администратор,,,,Москва,2009-10-27T09:47:14+0300
Руководитель проектов (Cognos BI),55000.0,110000.0,RUR,Москва,2009-12-30T08:59:17+0300
Консультант портальных решений,75000.0,,RUR,Москва,2009-10-07T23:29:41+0400
Военный специалист - эксперт по информационным системам,600.0,1200.0,USD,Нур-Султан,2009-07-02T15:38:23+0400
BSS/RAN Engineer,,,,Армения,2009-07-06T13:36:06+0400
Ведущий инженер (эксперт),70000.0,100000.0,RUR,Москва,2009-07-23T16:47:15+0400
Программист 1С,,,,Екатеринбург,2009-01-23T12:06:36+0300
Менеджер по проектам,15000.0,30000.0,RUR,Ярославль,2009-01-27T14:44:43+0300
Программист Oracle,2000.0,,USD,Москва,2009-02-24T11:41:57+0300
Системный администратор Linux,38000.0,,RUR,Санкт-Петербург,2009-01-19T18:14:20+0300
Аналитик Центра Операций,40000.0,50000.0,RUR,Санкт-Петербург,2009-04-01T16:07:18+0400
Менеджер по продажам в коммерческую дирекцию,70000.0,,RUR,Москва,2009-01-22T12:56:58+0300
Software engineer (build engineer),1200.0,1600.0,USD,Санкт-Петербург,2009-01-14T15:51:24+0300
Архитектор программного обеспечения,90000.0,160000.0,KZT,Алматы,2009-04-13T09:40:32+0400
Руководитель проектов,,,,Москва,2009-01-22T11:57:34+0300
Начальник отдела продаж,15000.0,30000.0,RUR,Казань,2009-02-26T21:15:17+0300
Ведущий специалист по поисковому продвижению сайтов,35000.0,50000.0,RUR,Белгород,2009-03-23T09:00:30+0300
Инженер-электронщик,,15000.0,RUR,Белгород,2009-11-26T10:55:30+0300
"Программист, команда программистов",,,,Киев,2009-11-27T14:35:40+0300
Менеджер по продажам отдела телекоммуникационных проектов,40000.0,,RUR,Москва,2009-07-21T14:29:31+0400
Аналитик ИНФИН,1500.0,2000.0,USD,Москва,2009-01-14T16:55:09+0300
Контент-менеджер,6000.0,10000.0,RUR,Москва,2009-08-13T17:04:08+0400
Специалист службы технической поддержки,12000.0,17000.0,RUR,Москва,2009-08-13T17:37:29+0400
Senior Java\ Oracle Developer,,,,Киев,2009-08-14T19:19:49+0400
Руководитель отдела закупок,,,,Москва,2009-02-17T09:48:38+0300
Тестировщик (Специалист отдела стандартизации программного обеспечения),18000.0,,RUR,Краснодар,2009-01-11T13:58:56+0300
Программист 1С,18000.0,25000.0,RUR,Воронежская область,2009-11-09T12:08:00+0300
Специалист Отдела сетевых решений,45000.0,,RUR,Москва,2009-06-01T10:42:56+0400
Специалист службы технической поддержки,13000.0,16000.0,RUR,Москва,2009-12-15T13:54:42+0300
Системный аналитик,,,,Москва,2009-12-15T18:52:09+0300
Главный архитектор ИТ,,,,Москва,2009-04-16T18:44:36+0400
Менеджер по привлечению корпоративных клиентов,30000.0,60000.0,RUR,Москва,2009-04-20T16:09:43+0400
Контент-менеджер,25000.0,,RUR,Москва,2009-04-20T16:37:53+0400
Консультант по внедрению ERP-систем,25000.0,45000.0,RUR,Ростов-на-Дону,2009-04-20T19:08:50+0400
Менеджер по работе с корпоративными Заказчиками (Компьютерные технологии),15000.0,300000.0,RUR,Ростов-на-Дону,2009-02-17T12:00:41+0300
Системный администратор Linux (сменный график),30000.0,45000.0,RUR,Московская область - Север,2009-08-04T09:34:30+0400
Web-программист,,,,Днепр (Днепропетровск),2009-03-03T11:57:54+0300
IT director/Технический директор,,,,Москва,2009-02-11T18:13:23+0300
Торговый представитель,25000.0,100000.0,RUR,Москва,2009-09-10T13:13:23+0400
Программист PHP,30000.0,40000.0,RUR,Москва,2009-09-21T16:16:57+0400
Картограф (редактирование дорожного графа),30000.0,,RUR,Москва,2009-09-14T18:37:39+0400
Менеджер по работе с клиентами,30000.0,40000.0,RUR,Москва,2009-09-16T22:30:34+0400
Менеджер по продажам,15000.0,15000.0,RUR,Самара,2009-11-03T08:34:23+0300
Менеджер по продажам IT-проектов,,60000.0,RUR,Новосибирск,2009-10-19T12:29:21+0400
Senior sysop,70000.0,100000.0,RUR,Москва,2009-09-28T12:26:23+0400
C# Developer,30000.0,40000.0,RUR,Санкт-Петербург,2009-10-29T15:00:55+0300
Торговый представитель,,,,Казань,2009-03-20T17:45:51+0300
Старший консультант SAP FI/CO,,,,Россия,2009-03-24T16:02:27+0300
Менеджер проектов по внутреннему контролю,,,,Москва,2009-08-19T14:14:31+0400
Системный администратор (IT специалист),25000.0,40000.0,RUR,Санкт-Петербург,2009-08-20T12:00:38+0400
Технический специалист по установке программного обеспечения,35000.0,45000.0,RUR,Москва,2009-08-20T13:18:12+0400
Программист,,,,Московская область - Восток,2009-08-20T14:57:52+0400
Программист Delphi,25000.0,,RUR,Ростовская область,2009-08-24T07:51:48+0400
.NET developer,,,,Харьков,2009-02-23T11:33:06+0300
Менеджер по работе с партнерами,23000.0,,RUR,Москва,2010-07-27T15:30:21+0400
Инженер технической поддержки,,,,Москва,2010-04-14T16:50:13+0400
Inside Systems Engineer,,,,Санкт-Петербург,2010-04-15T13:48:02+0400
Менеджер отдела продаж,15000.0,,RUR,Ростов-на-Дону,2010-08-30T16:22:05+0400
Project manager,,,,Харьков,2010-09-10T14:52:52+0400
Системный администратор(IT специалист),40000.0,46000.0,RUR,Москва,2010-09-21T11:27:58+0400
Сменный специалист в г. Миллерово,9500.0,11000.0,RUR,Миллерово,2010-06-10T12:05:24+0400
Менеджер по продажам IT-решений,90000.0,,RUR,Москва,2010-05-27T13:02:35+0400
Системный администратор,70000.0,80000.0,KZT,Алматы,2010-05-24T15:34:23+0400
Программист С++,,,,Москва,2010-04-07T15:37:26+0400
Html-программист,20000.0,40000.0,RUR,Средне-Приволжский округ,2010-03-14T13:48:09+0300
"Руководитель группы технической поддержки по направлению ""Автоматизация зданий""",,,,Москва,2010-12-13T10:30:28+0300
Программист 1С,70000.0,,RUR,Москва,2010-09-24T18:03:53+0400
Энергетик,,,,Санкт-Петербург,2010-09-14T09:54:11+0400
Программист С++,70000.0,,RUR,Москва,2010-08-25T09:27:16+0400
Специалист по работе с клиентами,25000.0,,RUR,Москва,2010-10-18T12:42:32+0400
Junior Developer (Таганрог),21000.0,27000.0,RUR,Ростов-на-Дону,2010-09-13T12:23:05+0400
Support security engineer (contract),,,,Санкт-Петербург,2010-09-17T16:00:26+0400
1С specialist,,,,Москва,2010-12-03T15:50:10+0300
Hardware Services Specialist (Logistics),,45000.0,RUR,Москва,2010-11-22T14:14:21+0300
Оператор центральной станции мониторинга,15000.0,15000.0,RUR,Санкт-Петербург,2010-12-06T14:39:49+0300
PHP программист,25000.0,30000.0,RUR,Москва,2010-11-26T10:27:39+0300
Менеджер проекта,,,,Новосибирск,2010-12-06T09:46:53+0300
Консультант по информационным системам управления (SAP FI),,,,Москва,2010-10-06T10:54:22+0400
Инженер-установщик,15000.0,,RUR,Самара,2010-10-06T13:49:39+0400
Инженер по интеграции с медицинским оборудованием,15000.0,,RUR,Казань,2010-05-06T18:33:10+0400
Web-программист ( joomla),,,,Ростов-на-Дону,2010-03-02T15:13:58+0300
Системный аналитик,75000.0,,RUR,Москва,2010-03-03T16:32:43+0300
Консультант SAP (ABAP),,,,Москва,2010-08-16T13:20:01+0400
Инженер-программист,,,,Донецк (Украина),2010-02-23T17:48:11+0300
"Консультант SAP, PP/MM",100000.0,100000.0,RUR,Тверь,2010-02-24T08:57:00+0300
Process Manager,,,,Санкт-Петербург,2010-02-24T13:01:12+0300
Начальник отдела организационного развития,,75000.0,RUR,Москва,2010-02-24T13:56:04+0300
Программист 1С,20000.0,40000.0,RUR,Москва,2010-06-20T13:44:59+0400
Программист PHP,56000.0,70000.0,RUR,Москва,2010-06-22T15:22:08+0400
Специалист по технической поддержке,20000.0,20000.0,RUR,Тверь,2010-10-18T18:40:21+0400
"Консультант SAP (LO, FI, HR), ТНК-ВР",,,,Москва,2010-01-15T18:10:46+0300
Разработчик .NET,,,,Санкт-Петербург,2010-12-20T18:48:16+0300
Специалист по нормативно-справочной информации,16000.0,16000.0,RUR,Волжский(Волгоградская область),2010-02-02T14:45:15+0300
PHP программист,25000.0,40000.0,RUR,Москва,2010-05-11T12:44:39+0400
SEO-специалист,25000.0,,RUR,Тула,2010-02-04T12:41:45+0300
Web-программист,18000.0,,RUR,Нижний Новгород,2010-02-04T17:21:58+0300
Руководитель направления,,1000.0,USD,Омск,2010-12-22T14:06:54+0300
Web-программист,60000.0,90000.0,RUR,Москва,2010-12-23T08:05:28+0300
Ведущий специалист,40000.0,,RUR,Москва,2010-03-05T13:52:01+0300
Программист PHP,15000.0,25000.0,RUR,Ростов-на-Дону,2010-03-05T18:29:38+0300
PR-менеджер (Копирайтер),,40000.0,RUR,Москва,2010-04-08T14:45:48+0400
Веб-дизайнер/ программист,25000.0,30000.0,RUR,Москва,2010-07-08T14:15:19+0400
.Net Developer,,,,Витебск,2010-07-08T14:32:33+0400
Технический специалист,,,,Москва,2010-08-10T12:44:41+0400
Системный аналитик,50000.0,,RUR,Санкт-Петербург,2010-09-01T09:53:04+0400
Менеджер по корпоративным продажам,,,,Саратов,2010-05-21T12:41:03+0400
Начальник отдела эксплуатации сервисных платформ,,95000.0,RUR,Москва,2010-06-09T17:33:14+0400
Менеджер по продажам,,,,Москва,2010-10-11T12:05:34+0400
Pre-sale manager Optics (менеджер по подготовке оптических решений),110000.0,130000.0,RUR,Москва,2010-03-30T13:46:14+0400
Веб-технолог,,,,Тольятти,2010-03-30T18:46:13+0400
Старший системный архитектор в области защиты и хранения данных (ILM),,,,Киев,2010-12-10T13:37:48+0300
Программист,15000.0,20000.0,RUR,Санкт-Петербург,2010-03-31T16:51:59+0400
Главный специалист по сопровождению АБС ЦФТ,,,,Москва,2010-03-25T09:58:24+0300
Программист-разработчик на VFP + MS SQL,,,,Москва,2010-03-12T12:37:25+0300
Test/Configuration Engineer,,,,Санкт-Петербург,2010-10-20T13:21:05+0400
Руководитель направления,35000.0,,RUR,Москва,2010-10-29T13:05:14+0400
Руководитель Отдела Обеспечения разработки,,,,Санкт-Петербург,2010-11-01T10:19:41+0300
"Customer Service, BO, Static Data/ Специалист по работе с корпоративными клиентами",,,,Москва,2010-11-25T18:36:33+0300
Менеджер по договорной работе,,,,Томск,2010-10-14T13:36:36+0400
Региональный представитель по продажам SAGE ERP X3 (Ростов-на-Дону),,,,Ростов-на-Дону,2010-11-08T13:57:43+0300
Менеджер по продажам,40000.0,120000.0,RUR,Москва,2010-10-15T20:50:06+0400
Системный администратор (Linux/AIX),,,,Москва,2010-05-17T12:00:15+0400
Менеджер по развитию агентской сети,,,,Самара,2010-05-18T09:13:12+0400
Инженер по технической поддержке,25000.0,30000.0,RUR,Екатеринбург,2010-08-11T11:28:43+0400
"Senior ASP.NET, AJAX UI developer",68000.0,84000.0,RUR,Санкт-Петербург,2010-10-12T19:07:39+0400
Консультант 1С,40000.0,,RUR,Санкт-Петербург,2010-10-12T20:38:16+0400
Технический писатель,50000.0,,RUR,Москва,2010-10-19T16:18:10+0400
Ведущий инженер группы технической поддержки,24000.0,28000.0,RUR,Москва,2010-11-08T16:24:41+0300
Руководитель проекта (сеть широкополосного доступа масштаба «Район/Город»),,,,Екатеринбург,2010-11-11T09:12:21+0300
Ведущий разработчик iPhone,3000.0,4000.0,USD,Москва,2010-11-09T11:09:04+0300
Консультант SAP (служба поддержки FI),,,,Москва,2010-11-09T11:43:11+0300
Консультант (специалист по внедрению OeBS),,,,Москва,2010-10-19T10:09:38+0400
Специалист 1 С8,,,,Москва,2010-09-20T15:45:17+0400
Администратор Solaris,50000.0,60000.0,RUR,Москва,2010-09-20T17:27:45+0400
Менеджер по работе с ключевыми клиентами,20000.0,40000.0,RUR,Барнаул,2010-10-18T09:28:58+0400
Специалист по продажам (оргтехника),,,,Атырау,2010-06-28T19:21:05+0400
Менеджер по работе с клиентами (SAM),35000.0,,RUR,Москва,2010-01-13T12:00:46+0300
"Руководитель направления Производство-металлы (сталь), ERP",200000.0,300000.0,RUR,Москва,2010-01-22T14:43:16+0300
Контент-менеджер,14000.0,20000.0,RUR,Санкт-Петербург,2010-01-19T09:19:19+0300
Key account manager,80000.0,150000.0,KZT,Алматы,2010-07-15T14:27:49+0400
Специалист технической поддержки,,,,Липецк,2010-12-30T19:12:19+0300
Младший консультант SAP,,,,Москва,2010-09-02T15:19:39+0400
Инженер-комплектовщик,25000.0,30000.0,RUR,Москва,2010-09-03T16:28:06+0400
Инженер-программист Delphi,,,,Москва,2010-08-17T09:06:29+0400
Специалист по рекламе,,30000.0,RUR,Санкт-Петербург,2010-07-12T12:23:25+0400
Программист-разработчик,,45000.0,RUR,Москва,2010-09-30T10:20:30+0400
Project Manager,,,,Алматы,2010-08-03T09:31:10+0400
Главный специалист Отдела сопровождения систем сетевой защиты,,,,Москва,2010-08-03T11:57:56+0400
Специалист технической службы,,,,Воронеж,2010-09-01T12:21:10+0400
Старший Java-разработчик (Senior Java Developer),90000.0,150000.0,RUR,Москва,2010-11-10T11:39:31+0300
Системный аналитик / Архитектор,,,,Санкт-Петербург,2010-08-16T21:16:27+0400
Flash AS 3.0 программист,85000.0,,RUR,Санкт-Петербург,2010-01-20T17:34:32+0300
Специалист техподдержки,30000.0,30000.0,RUR,Москва,2010-07-02T13:18:17+0400
Программист интерфейсов,30000.0,30000.0,RUR,Москва,2010-08-02T12:41:37+0400
Менеджер по продажам игровых приложений,,100000.0,RUR,Москва,2010-07-05T12:31:18+0400
Research Web Developer / Web Lead,70000.0,85000.0,RUR,Санкт-Петербург,2010-08-03T11:57:14+0400
Lead Software Testing Engineer,,,,Киев,2010-01-24T19:05:45+0300
Инженер HP Service Manager/Omnitracker,,,,Санкт-Петербург,2010-11-22T09:42:35+0300
Ведущий инженер-технолог (базы данных),,80000.0,RUR,Москва,2010-08-19T19:51:47+0400
Заместитель директора по ИТ,,,,Украина,2010-06-21T17:29:38+0400
Ведущий WEB-разработчик,3000.0,,USD,Москва,2010-08-25T14:08:52+0400
Senior С++ Software Engineer,,,,Киев,2010-07-20T19:55:42+0400
Веб-мастер,,,,Санкт-Петербург,2010-07-21T17:46:53+0400
Менеджер по продажам SEO,25000.0,,RUR,Москва,2010-07-12T18:53:35+0400
Менеджер по работе с клиентами,,,,Оренбург,2010-06-15T09:38:27+0400
Системный администратор,45000.0,60000.0,RUR,Москва,2010-06-08T23:52:10+0400
Java Developer,,,,Львов,2010-06-09T00:38:39+0400
PHP программист,35000.0,50000.0,RUR,Москва,2010-03-18T19:47:12+0300
.Net / javascript разработчик,50000.0,100000.0,RUR,Москва,2010-04-06T10:12:20+0400
1C программист/системный администратор,65000.0,70000.0,RUR,Москва,2010-04-27T10:09:28+0400
Модератор-консультант,17000.0,,RUR,Ростов-на-Дону,2010-04-27T12:42:37+0400
Специалист обслуживания корпоративных клиентов,,,,Петропавловск,2010-04-28T13:03:57+0400
Оператор департамента клиентского обслуживания,,30000.0,RUR,Москва,2010-05-25T09:26:41+0400
Специалист по сопровождению ПО,850.0,,USD,Москва,2010-09-15T17:59:51+0400
Программист PHP,38000.0,75000.0,RUR,Москва,2010-02-15T12:53:08+0300
Инженер-электронщик,23000.0,,RUR,Санкт-Петербург,2010-02-15T16:33:42+0300
Веб-разработчик,50000.0,,RUR,Москва,2010-11-24T11:54:01+0300
Оптимизатор сайта SEO,20000.0,25000.0,RUR,Санкт-Петербург,2010-05-31T14:06:26+0400
Программист Lotus (Разработчик на платформе Lotus Domino/notes),,,,Алматы,2010-06-21T17:48:35+0400
Partner Account Manager/Alliance Partner (PAM),,,,Москва,2010-01-14T15:39:28+0300
Консультант по внедрению систем бюджетного планирования на платформах IBM Cognos Planing и/или SAP BPС,,,,Москва,2010-01-15T12:33:26+0300
Менеджер по продажам,,,,Чебоксары,2010-01-15T17:25:18+0300
Веб-программист PHP,40000.0,65000.0,RUR,Москва,2010-08-06T12:51:32+0400
Программист 1С,60000.0,,RUR,Москва,2010-11-15T16:20:19+0300
Заместитель директора,,,,Москва,2010-11-15T20:26:27+0300
Администратор по учету продаж,15000.0,,RUR,Улан-Удэ,2010-11-17T10:46:13+0300
Менеджер по продажам,,,,Москва,2010-04-12T11:40:26+0400
Инженер – проектировщик линейно – кабельных сетей,,80000.0,RUR,Москва,2010-04-12T12:28:49+0400
